"Drowned Rat",8,4,2,5,2
"Cultist",12,5,3,0,8
"Thug",18,7,4,0,15
"Cult Leader",35,10,6,0,50
"Brine Creeper",15,7,4,2,5
"Eelfolk Scout",20,9,5,2,12
"Eel Raider",26,11,6,0,18
"Eelfolk Brute",50,14,8,0,75
"Wild Warg",22,8,4,2,10
"Glade Serpent",18,7,3,5,12
"Lizard Scout",32,13,7,0,20
"Lizard Brave",42,16,9,3,30
"Rotwood Spirit",75,18,10,3,100
"Temple Guard",70,24,14,3,45
"Basilisk Pup",40,18,9,1,20
"Cult Zealot",50,20,10,0,35
"Giant Basilisk",65,22,13,1,50
"Bhaulx",110,25,14,1,150
"Cave Goblin",40,18,9,4,40
"Goblin",48,21,10,5,45
"Ore Beetle",60,19,14,3,30
"Rock Golem",80,26,15,3,60
"Deep Elemental",90,24,13,3,130
"Fog Stalker",65,20,11,2,45
"Feral Bear",100,32,14,0,70
"Foul Phantom",60,19,11,3,70
"Choked Treant",170,35,18,3,250
"Undead Guard",95,30,16,3,100
"Shadow Wraith",85,34,14,2,120
"Etheros",300,45,22,1,999
"Skeleton",45,12,8,0,25
"Crypt Ghoul",60,15,10,1,35
"Tomb Crawler",35,10,6,0,18
"Lost Spirit",50,14,12,0,30
